t0,t1
83.40545854909936,59.19051652984765
56.150581915464656,81.28705663578118
53.7105732462768,82.53025699166078
51.223568121982055,83.85945815939945
48.70699184646557,85.22532509914627
46.17001966754361,86.59976579075989
43.61830527037496,87.96421494556868
41.05570121062054,89.30531062368173
38.48506646585882,90.61285825561006
35.90870816546946,91.87872716405549
33.32864987675969,93.09619586813189
30.746807460825355,94.25953921239552
28.165110991976533,95.36375702382715
25.585592610424246,96.40439101027067
23.010451135192234,97.37739949591455
20.442099512105187,98.27907160657357
17.883198524660198,99.10596921260846
15.336678670004785,99.85488884242396
12.80575122433712,100.52283813918302
10.293909049897485,101.10702289881823
7.804917497906001,101.6048416587258
5.342795760308531,102.01388541322322
2.9117891649663297,102.33194044163045
0.5163331512178537,102.55699252856121
-1.8389900341147454,102.68723108611024
-4.149500555571217,102.72105188792516
-6.41047445083701,102.65705731632598
-8.617199410161295,102.49405321634767
-10.765030779340272,102.23104164763375
-12.84944563002302,101.86720902315524
-14.866092796010744,101.40190931494558
-16.810836943897158,100.83464218077867
-18.67979501596241,100.16502601013515
-20.469363727167075,99.39276599126457
-22.176237183453683,98.51761735328236
-23.797414078900683,97.53934392939414
-25.3301942885447,96.45767211246884
-26.77216496946271,95.2722401259635
-28.121176488146574,93.98254230446446
-29.37530858648776,92.58786775846988
-30.532827165764942,91.08723237061427
-31.59213189368771,89.47930250739937
-32.551694506777714,87.76230808613154
-33.40998716261499,85.93394163818645
-34.165399448002034,83.99123864083917
-34.816141590389854,81.9304324656749
-35.36012991427858,79.74677451384925
-35.794848397954716,77.43430598782076
-36.11717691628338,74.98556146273685
-36.323171696536974,72.39117454344573
-36.40777539411716,69.63933987137649
-36.36442063545774,66.71505881772987
-36.184467230606565,63.599049071606515
-35.85636996000683,60.26611186788827
-35.3643899022851,56.68258282838169
-34.686488018218654,52.802143965223486
-33.79064597234191,48.558486984749244
-32.62786735828261,43.85133443721938
-31.11722120830902,38.51654270917753
-29.10788499501572,32.25020152051519
-26.250270185156836,24.35089629348476
-21.105801236479888,11.93927541660875
-16.167886720669312,0.0
-17.17104440333636,0.0
-17.17104514272603,1.4787793323740617e-06
-11.441466452028129,0.0
-5.711888500719897,0.0
0.01768840493344161,2.0913097889250194e-06
5.7472674018965675,0.0
11.476844613815135,1.4787793323740617e-06
17.20642256512337,1.4787793323740617e-06
22.93600125582127,0.0
28.6655792071295,0.0
34.39515715843773,0.0
42.9895240854001,5.729577951308187
45.854313061054164,11.459155902616551
48.71910203670823,17.188733853924866
51.58389101236241,22.918311805232975
54.44867998801653,28.64788975654121
57.31346896367066,34.3774677078494
60.178257939324766,40.10704565915766
63.043046914978895,45.8366236104659
65.90783589063304,51.56620156177406
68.77262486628713,57.29577951308232
71.63741384194125,63.02535746439054
74.50220281759537,63.02535746439056
77.36699179324951,63.02535746439054
80.2317807689036,63.02535746439056
83.09656974455774,63.02535746439054
85.96135872021185,63.02535746439054
