r0,r1,l0,l1,i1,i2
81.87319884726224,47.45801104972376,90.67860508953817,44.5825130283729,0,0
81.87319884726224,47.45801104972376,90.67860508953817,44.5825130283729,1,1
85.67723342939482,51.31823204419889,87.87935909519322,41.2507237984945,1,1
90.1729106628242,55.70828729281768,78.54853911404336,32.207295888824554,1,1
78.58789625360231,54.27016574585635,81.68708765315739,42.9166184134337,1,1
73.8328530259366,57.0707182320442,79.99057492931198,50.373480023161555,1,1
65.10086455331412,60.77955801104972,76.08859566446748,57.11638679791546,1,1
61.90201729106627,62.8232044198895,73.0348727615457,63.46265199768384,1,1
51.61383285302594,70.69502762430939,68.11498586239398,68.14302258251303,1,1
53.60230547550432,72.89005524861878,66.41847313854853,70.9195136074117,1,1
32.074927953890494,75.3121546961326,64.55230914231856,72.34742327735958,1,1
53.86167146974063,75.61491712707182,65.57021677662581,74.40995946728431,2,2
56.19596541786743,82.50276243093923,57.25730442978323,72.4267515923567,3,3
54.293948126801155,78.7939226519337,62.9406220546654,77.10712217718587,3,3
54.03458213256485,79.09668508287292,63.27992459943451,75.12391430225826,3,3
53.60230547550432,79.17237569060774,62.26201696512723,75.67921250723799,3,3
52.9971181556196,78.26408839779006,63.11027332704995,76.47249565720904,3,3
52.478386167146965,78.56685082872929,62.68614514608859,76.71048060220035,3,3
52.478386167146965,79.02099447513812,62.516493873704064,77.18645049218297,3,3
51.18155619596541,78.7939226519337,63.025447690857675,76.94846554719166,3,3
51.268011527377524,79.17237569060774,61.498586239396786,77.18645049218297,3,3
52.91066282420749,78.94530386740331,62.007540056550425,76.55182397220614,3,3
53.1700288184438,79.9292817679558,61.41376060320454,77.02779386218877,3,3
45.302593659942374,79.09668508287292,62.0923656927427,76.78980891719745,3,3
53.1700288184438,78.94530386740331,60.65032987747409,76.78980891719745,4,4
55.93659942363112,85.15193370165746,55.221489161168705,74.72727272727273,5,5
52.65129682997119,81.89723756906078,60.48067860508954,76.63115228720324,5,5
52.30547550432277,82.12430939226519,60.565504241281815,76.94846554719166,5,5
52.65129682997119,82.57845303867403,59.632422243166815,78.93167342211929,5,5
51.873198847262245,83.18397790055249,61.1592836946277,79.2489866821077,5,5
51.18155619596541,82.88121546961327,59.46277097078229,78.93167342211929,5,5
