r0,r1,l0,l1,i1,i2
84.0784479122733,59.47694840834248,87.6711185308848,59.87007874015748,0,0
84.0784479122733,59.47694840834248,87.6711185308848,59.87007874015748,0,0
82.40826655419653,59.62733260153677,86.01836393989984,59.94713160854893,1,1
83.77477857444117,59.85290889132821,87.220367278798,59.94713160854893,1,1
88.32981864192323,68.04884742041712,75.57595993322204,50.392575928009,1,1
82.02867988190636,68.72557628979143,77.75459098497495,58.63723284589426,1,1
76.71446646984396,70.75576289791438,76.10183639398997,64.26209223847019,1,1
70.18557570645297,73.91383095499451,74.2237061769616,70.50337457817773,1,1
63.96035428089414,80.38035126234907,66.41068447412354,76.82170978627671,1,1
62.82159426402362,82.10976948408343,63.85642737896495,78.28571428571429,1,1
60.31632222690848,81.50823271130626,62.20367278797997,78.82508436445444,1,1
58.79797553774779,82.93688254665203,59.94991652754592,82.21541057367828,2,2
60.24040489245044,88.35071350164654,54.165275459098496,78.43982002249719,2,2
57.58329818641923,83.23765093304061,56.19365609348915,78.97919010123735,3,3
56.36862083509067,83.6888035126235,56.043405676126866,80.36614173228347,3,3
56.59637283846479,84.29034028540066,54.165275459098496,81.36782902137233,3,3
55.98903416280049,84.66630076838639,54.46577629382304,81.05961754780652,3,3
55.229860818220146,83.5384193194292,53.86477462437395,81.44488188976378,3,3
53.40784479122732,84.96706915477498,52.43739565943238,83.52530933633295,4,4
52.80050611556305,84.06476399560923,53.1135225375626,83.67941507311586,4,4
53.5596794601434,85.26783754116356,52.287145242070125,83.1400449943757,4,4
53.028258118937146,85.79418221734358,52.81302170283806,84.21878515185603,4,4
52.57275411218896,86.92206366630077,52.13689482470784,84.37289088863892,5,5
52.64867144664697,85.64379802414929,51.91151919866445,84.60404949381328,5,5
51.889498102066625,87.89956092206367,50.48414023372288,84.75815523059617,5,5
48.625052720371144,86.84687156970362,49.50751252086812,84.37289088863892,6,6
50.0674820750738,87.82436882546652,49.65776293823038,86.22215973003375,6,6
49.38422606495149,87.44840834248079,48.530884808013354,84.83520809898762,6,6
48.92872205820328,87.89956092206367,47.62938230383972,86.7615298087739,6,6
47.25854070012653,87.59879253567509,48.00500834724542,85.45163104611923,6,6
47.714044706874745,88.04994511525796,47.253756260434045,86.37626546681665,6,6
47.41037536904261,88.1251372118551,46.27712854757931,87.14679415073115,7,7
50.52298608182201,95.34357848518113,36.8864774624374,79.67266591676041,7,7
46.19569801771405,90.00493962678375,42.97161936560934,85.68278965129359,7,7
45.6642766765078,90.0801317233809,44.17362270450752,86.7615298087739,7,7
43.99409531843105,89.47859495060374,42.145242070116865,88.07142857142857,8,8
43.69042598059892,90.53128430296377,42.070116861435736,87.0697412823397,8,8
42.93125263601857,90.0801317233809,41.84474123539232,86.607424071991,8,8
42.323913960354275,92.26070252469813,41.619365609348904,88.53374578177728,9,9
42.70350063264445,91.65916575192097,41.31886477462439,89.6124859392576,9,9
40.65373260227753,92.18551042810098,39.666110183639404,88.22553430821148,9,9
39.81864192323914,93.0126234906696,38.313856427378965,90.15185601799774,10,10
39.28722058203289,93.61416026344676,37.86310517529215,90.15185601799774,10,10
39.28722058203289,92.93743139407245,39.29048414023373,89.07311586051743,10,10
37.61703922395614,94.14050493962678,37.56260434056762,90.6912260967379,10,10
36.47827920708562,93.0126234906696,35.75959933222036,90.84533183352082,11,11
36.40236187262758,94.66684961580681,36.736227045075125,92.54049493813274,11,11
37.69295655841417,94.8172338090011,36.58597662771285,92.77165354330708,11,11
34.73218051455082,95.34357848518113,33.35559265442404,93.31102362204724,11,11
35.26360185575706,94.21569703622393,34.63272120200334,92.61754780652419,11,11
34.04892450442851,94.14050493962678,34.482470784641066,93.38807649043869,12,12
36.78194854491775,95.71953896816684,30.651085141903167,89.07311586051743,12,12
33.97300716997047,96.69703622392974,30.876460767946583,93.15691788526435,12,12
31.543652467313365,96.02030735455543,29.89983305509182,93.2339707536558,13,13
35.491353859131166,102.86278814489572,22.537562604340565,88.07142857142857,13,13
31.847321805145512,97.67453347969264,27.420701168614357,92.30933633295838,13,13
29.266132433572338,97.5993413830955,26.89482470784641,94.15860517435321,14,14
30.17714044706875,99.02799121844127,28.92320534223707,94.23565804274466,14,14
28.43104175453395,97.67453347969264,26.744574290484138,94.15860517435321,14,14
26.609025727541123,99.10318331503842,26.519198664440736,95.23734533183352,15,15
26.988612399831297,98.65203073545554,25.843071786310517,96.77840269966254,15,15
25.546183045128643,98.65203073545554,24.115191986644405,96.00787401574803,15,15
26.30535638970899,99.2535675082327,24.941569282136896,97.6259842519685,15,15
25.09067903838043,99.10318331503842,23.889816360601003,96.39313835770528,15,15
22.88907633909743,97.82491767288694,22.988313856427382,97.3177727784027,16,16
28.886545761282164,106.54720087815588,14.87479131886478,89.76659167604049,16,16
23.7241670181358,100.90779363336992,20.809682804674452,96.54724409448819,16,16
22.964993673555455,101.65971459934138,18.856427378964938,97.39482564679415,16,16
21.294812315478694,101.28375411635565,20.58430717863105,97.54893138357706,17,17
24.02783635596795,104.2914379802415,11.343906510851426,92.38638920134983,17,17
21.142977646562628,100.83260153677277,16.75292153589315,96.54724409448819,17,17
21.750316322226908,103.46432491767288,16.75292153589315,97.08661417322834,17,17
17.65078026149304,102.48682766190998,16.52754590984975,99.01293588301462,18,18
17.19527625474484,100.83260153677277,16.45242070116862,98.01124859392576,18,18
17.574862927035,101.13336992316137,15.7762938230384,98.47356580427447,18,18
17.04344158582876,101.73490669593853,15.550918196994985,99.16704161979753,18,18
14.841838886545759,100.3814489571899,14.499165275459092,99.62935883014623,19,19
14.538169548713626,100.98298572996707,15.250417362270454,98.78177727784028,19,19
14.234500210881478,103.01317233809002,13.59766277128547,100.09167604049493,20,20
13.854913538591305,101.2085620197585,14.19866444073456,100.1687289088864,20,20
12.792070856178825,102.26125137211855,11.869782971619372,99.08998875140607,20,20
12.336566849430625,102.48682766190998,12.02003338898163,101.17041619797526,20,20
11.729228173766344,101.96048298572997,11.343906510851426,101.32452193475815,21,21
10.81822016026993,101.73490669593853,11.7195325542571,101.01631046119235,21,21
9.67946014339941,102.26125137211855,9.015025041736223,101.0933633295838,21,21
9.60354280894137,102.41163556531285,8.639398998330549,100.785151856018,21,21
8.312948123154783,102.56201975850713,8.789649415692821,100.24578177727784,22,22
7.857444116406583,102.3364434687157,8.038397328881473,101.55568053993251,22,22
7.857444116406583,102.71240395170143,8.414023372287147,101.94094488188976,22,22
6.490932096161956,102.71240395170143,7.212020033388981,101.94094488188976,22,22
6.339097427245889,102.93798024149287,6.010016694490815,100.86220472440945,23,23
5.579924082665542,101.81009879253567,5.258764607679467,101.0933633295838,23,23
4.517081400253062,104.21624588364435,2.9298831385642785,101.7097862767154,23,23
3.9097427245887815,102.93798024149287,3.6060100166944977,101.63273340832396,24,24
3.3783213833825414,103.38913282107575,4.056761268781301,102.55736782902137,24,24
4.061577393504848,103.08836443468715,3.8313856427378994,101.47862767154106,24,24
1.784057359763807,103.23874862788145,1.502504173622711,101.94094488188976,25,25
0.7971320118093672,102.93798024149287,1.277128547579295,101.63273340832396,25,25
0.6452973428933007,103.23874862788145,1.202003338898166,102.48031496062993,25,25
0.26571067060312714,104.06586169045005,0.8263772954924917,103.17379077615298,25,25
-1.8599746942218474,103.68990120746433,-0.8263772954924917,101.7097862767154,26,26
-1.1767186840995407,103.53951701427003,-0.07512520868112915,102.78852643419573,26,26
-1.1767186840995407,102.78759604829857,-1.4273789649415676,102.09505061867267,26,26
-2.998734711092368,103.46432491767288,-2.3288814691151885,102.09505061867267,26,26
-3.6819907212146745,102.56201975850713,-4.657762938230377,101.94094488188976,27,27
-3.833825390130741,103.53951701427003,-3.3055091819699527,102.94263217097863,27,27
-4.972585407001262,103.1635565312843,-4.056761268781301,102.32620922384702,27,27
-4.820750738085195,103.68990120746433,-5.258764607679467,102.94263217097863,28,28
-6.566849430619996,103.01317233809002,-7.437395659432383,102.17210348706412,28,28
-6.9464361029101696,103.53951701427003,-7.437395659432383,102.48031496062993,29,29
-7.47785744411641,104.06586169045005,-8.113522537562602,102.48031496062993,29,29
-6.870518768452129,103.46432491767288,-8.714524207011692,101.63273340832396,29,29
-8.768452129902997,103.53951701427003,-8.86477462437395,100.785151856018,29,29
-10.28679881906369,102.78759604829857,-10.968280467445737,102.01799775028121,30,30
-9.60354280894137,102.03567508232712,-9.766277128547586,101.4015748031496,30,30
-10.74230282581189,102.11086717892425,-11.11853088480801,100.70809898762654,30,30
-11.805145508224385,102.48682766190998,-11.644407345575956,101.86389201349832,31,31
-10.74230282581189,102.41163556531285,-12.245409015025047,101.2474690663667,31,31
-12.108814846056518,104.36663007683863,-13.973288814691145,101.0933633295838,31,31
-13.171657528468998,102.48682766190998,-13.59766277128547,99.01293588301462,32,32
-13.399409531843105,101.65971459934138,-14.94991652754591,100.09167604049493,32,32
-14.082665541965412,102.11086717892425,-14.87479131886478,99.47525309336334,32,32
-14.158582876423452,99.93029637760702,-14.799666110183637,99.32114735658043,32,32
-15.601012231126106,102.78759604829857,-15.926544240400673,101.2474690663667,33,33
-16.891606916912693,101.05817782656422,-18.480801335559264,100.24578177727784,34,34
-16.967524251370733,102.26125137211855,-18.631051752921536,99.62935883014623,34,34
-17.347110923660907,100.45664105378705,-18.10517529215359,97.93419572553431,34,34
-16.739772247996626,100.08068057080132,-19.156928213689483,98.85883014623172,34,34
