r0,r1,l0,l1,i1,i2
82.73469387755102,59.60488346281909,87.38901098901098,56.3617381489842,0,0
82.73469387755102,59.60488346281909,87.38901098901098,56.3617381489842,1,1
82.48979591836735,61.50554938956715,86.28131868131868,55.66591422121896,1,1
89.75510204081633,70.93285238623751,75.28351648351648,47.62528216704289,1,1
82.9795918367347,66.97946725860156,80.34725274725275,58.294582392776526,1,1
75.46938775510205,70.24861265260822,78.60659340659342,65.79401805869074,1,1
70.24489795918367,71.5410654827969,77.73626373626374,71.59255079006772,1,1
65.67346938775509,75.11431742508324,72.98901098901098,74.76241534988714,1,1
59.38775510204081,81.57658157602664,64.44395604395604,78.08690744920993,1,1
57.918367346938766,80.13207547169812,64.91868131868131,81.7206546275395,1,1
56.448979591836746,81.1204217536071,62.22857142857143,81.48871331828443,2,2
57.102040816326536,81.57658157602664,59.93406593406593,80.40632054176072,3,3
55.79591836734693,81.57658157602664,58.98461538461538,80.25169300225734,3,3
52.85714285714286,82.41287458379578,57.24395604395605,81.6433408577878,4,4
52.28571428571428,82.41287458379578,55.50329670329671,80.6382618510158,5,5
49.51020408163265,82.4889012208657,53.050549450549454,79.40124153498871,6,6
46.571428571428584,84.08546059933407,49.80659340659341,80.6382618510158,6,6
46.734693877551024,83.55327413984462,50.993406593406604,79.63318284424379,6,6
44.20408163265307,82.56492785793563,49.331868131868134,80.17437923250564,7,7
42.571428571428584,84.161487236404,46.879120879120876,81.25677200902935,7,7
41.18367346938774,84.23751387347392,45.53406593406592,80.87020316027088,8,8
41.591836734693885,84.76970033296337,44.03076923076924,82.02990970654628,8,8
38.65306122448979,83.85738068812431,45.77142857142857,81.17945823927765,8,8
38.65306122448979,85.75804661487237,43.160439560439556,82.41647855530474,8,8
38.897959183673464,86.36625971143174,42.44835164835166,84.11738148984199,9,9
36.53061224489795,86.29023307436182,42.05274725274725,83.88544018058691,10,10
35.55102040816327,86.21420643729189,41.57802197802198,84.50395033860045,10,10
36.61224489795919,86.51831298557158,39.204395604395614,83.73081264108352,10,10
36.20408163265306,87.05049944506105,41.57802197802198,86.51410835214448,11,11
34.244897959183675,87.65871254162042,38.25494505494507,89.22009029345372,12,12
33.755102040816325,88.79911209766925,36.751648351648356,87.05530474040631,12,12
32.93877551020408,88.87513873473918,36.830769230769235,88.75620767494357,12,12
30.897959183673464,91.23196448390676,34.61538461538461,90.68905191873588,13,13
29.59183673469387,92.75249722530522,34.61538461538461,92.00338600451467,13,13
27.306122448979593,92.22031076581575,31.450549450549445,92.31264108352144,14,14
27.06122448979592,92.90455049944507,31.92527472527472,94.09085778781038,14,14
26.816326530612244,93.58879023307436,29.314285714285717,93.54966139954853,15,15
26.0,93.96892341842397,29.630769230769232,93.47234762979684,15,15
24.122448979591837,95.26137624861265,27.652747252747247,96.41027088036117,16,16
22.57142857142857,94.12097669256381,28.44395604395605,94.70936794582393,16,16
22.08163265306122,95.03329633740289,23.934065934065927,94.55474040632055,17,17
21.34693877551021,96.17369589345172,24.250549450549457,95.40519187358916,17,17
20.775510204081627,97.23806881243063,23.69670329670329,96.33295711060948,17,17
19.387755102040813,96.02164261931188,22.668131868131866,97.87923250564334,18,18
15.306122448979593,96.93396226415095,20.136263736263743,97.72460496613995,19,19
16.693877551020407,97.4661487236404,19.42417582417582,97.10609480812641,19,19
15.877551020408163,97.69422863485016,18.553846153846152,98.18848758465012,19,19
14.40816326530613,98.75860155382908,16.02197802197803,98.18848758465012,20,20
12.040816326530617,98.75860155382908,14.676923076923075,98.80699774266365,21,21
