x,y
0.3573755975145636,0.8568060276106365
0.3156653870353992,0.7568060276106365
0.2771696081286432,0.6645126096093394
0.21857931370467845,0.5834744864862492
0.14831619772427557,0.5123190613049993
0.07023606116625486,0.44984112699951156
-0.013373303645901363,0.39498245297518086
-0.10100769621797853,0.3468138611489393
-0.09286492165248517,0.38092917569357915
-0.05355871414433247,0.3736018868117487
-0.013717365668606677,0.3702352768451001
0.0262610421905216,0.3708629838475669
0.06597705839682859,0.3754787359782727
0.1050338536447504,0.3840364141676923
0.1430411853466298,0.39645051292414935
0.1796192968076551,0.4125969946764248
0.2144027116292238,0.4323145291161672
0.24704388542830716,0.45540610515700486
0.3042389187329973,0.5110810676091477
0.32733536681705355,0.5436001681580918
0.3461204229635427,0.578616688455898
0.3602977140122609,0.6154993954776555
0.3696664355383056,0.6535812240760382
0.3741255675803692,0.6921738548080345
0.37367586993493296,0.7305827549018176
0.3684196128897025,0.76812234561886
0.3585580500738095,0.8041309564606788
0.3564041090276101,0.8220087351306355
0.35335934332051355,0.8397565190483913
0.34943136328110436,0.8573299479970189
0.34462998681382856,0.8746850975562117
