t0,t1
80.49375259701955,46.31781766285163
49.778312424298456,75.65653946797518
47.28977013747056,77.19410668315957
44.79852152652319,78.69814052112169
42.306897083344715,80.16062963977701
39.81672451095084,81.57518943678056
37.32954454744567,82.93657086317153
34.846758287212,84.24033441487241
32.369731710935774,85.4826276045562
29.89987204196749,86.66003023556203
27.438684597524215,87.76944573263002
24.98781541322451,88.80802469388513
22.549082894726453,89.7731115305072
20.12450050050616,90.6622079589088
17.716291676470835,91.47294894785195
15.32689777721152,92.20308791326066
12.958979423808922,92.85048873721142
10.61541160645337,93.41312271060413
8.299272804727886,93.88906885314591
6.013828443036348,94.27651630930526
3.7625091023057844,94.57376769485771
1.5488840527807335,94.77924240282795
-0.6233691619299653,94.89147898858361
-2.7504981905230665,94.90913585369238
-4.8287113353616204,94.83098954407114
-6.854213830045187,94.655930072995
-8.823243670482151,94.38295277336421
-10.732105704238924,94.01114627310302
-12.577202704447423,93.53967626731732
-14.355062227746602,92.96776482381907
-16.062358172682877,92.29466499658773
-17.695926102780085,91.51963052555922
-19.25277156021884,90.64188036086573
-20.730070752070368,89.66055765419569
-22.125163119978,88.57468269619321
-23.43553538374043,87.38309903005053
-24.65879665605269,86.08441161478382
-25.792644134099845,84.67691541400784
-26.83481865323953,83.15851209777179
-27.783048998231354,81.52661159025315
-28.634983249764606,79.77801385661904
-29.38810450777583,77.90876441116443
-30.039626932224042,75.91397424480355
-30.586365934454786,73.78759071778435
-31.024573126003883,71.52209960734936
-31.349721566025288,69.10812848736228
-31.556218641950725,66.53390533440155
-31.63701012872268,63.7844988103106
-31.583014807637127,60.84071847316368
-31.382284564078358,57.67746436721519
-31.018698225063908,54.26114223596703
-30.469816320731997,50.54539854547595
-29.70311139855561,46.46360447640281
-28.668737873338852,41.91441681959535
-27.2838956017498,36.73052417560681
-25.392387682469547,30.597779525093728
-22.622252108394374,22.77047851876716
-17.25725380163216,9.814356665860164
-13.433584255062167,0.0
-14.488434099791156,0.0
-15.515512145076906,0.0
-15.515512884466572,1.4787793323740617e-06
-9.785934933158337,1.4787793323740617e-06
-4.056356981850106,1.4787793323740617e-06
1.6732217088477923,0.0
7.402798920766357,1.4787793323740617e-06
13.132377611464257,0.0
18.861954823382824,1.4787793323740617e-06
24.591533514080723,0.0
30.321111465388952,0.0
36.05068867730752,1.4787793323740617e-06
44.64505634365956,5.729577951308187
47.50984531931366,11.45915590261645
50.3746342949678,17.18873385392466
53.23942327062186,22.918311805232975
56.104212246276035,28.64788975654111
58.969001221930114,34.3774677078494
61.833790197584236,40.10704565915766
64.69857917323836,45.83662361046587
67.56336814889248,51.56620156177406
70.42815712454659,51.566201561774086
73.29294610020074,51.56620156177406
76.15773507585484,51.566201561774086
79.02252405150894,51.566201561774086
81.88731302716307,51.56620156177406
