er,el
0.004721789564865274,0.004721789564865274
0.10624818669033656,0.10624818669033656
0.09350978263459762,0.09350978263459762
0.16766305798955095,0.16766305798955095
0.10476132890170309,0.10476132890170309
0.08733504826579613,0.08733504826579613
0.05703205508576548,0.05703205508576548
0.037954094711409564,0.037954094711409564
0.030843234080334844,0.030843234080334844
0.019424583443154356,0.019424583443154356
0.01892302495389949,0.01892302495389949
0.0341000694739518,0.0341000694739518
0.018415176968591657,0.018415176968591657
0.02814794634933069,0.02814794634933069
0.011857687640212028,0.011857687640212028
0.007609710557159042,0.007609710557159042
0.014071823002724325,0.014071823002724325
0.009136817329624779,0.009136817329624779
0.012298574162623492,0.012298574162623492
0.012948580634896931,0.012948580634896931
0.013858129958620933,0.013858129958620933
0.015659060707115344,0.015659060707115344
0.020203939250900957,0.020203939250900957
0.006502086165035746,0.006502086165035746
0.00381679335516298,0.00381679335516298
0.0023415292819924495,0.0023415292819924495
0.008201267564699547,0.008201267564699547
0.02479629173577027,0.02479629173577027
0.008433907261734312,0.008433907261734312
0.013971512429195471,0.013971512429195471
0.009874353270942347,0.009874353270942347
0.023941455857930796,0.023941455857930796
0.017044231543035332,0.017044231543035332
0.014251051445401616,0.014251051445401616
0.00496119207564347,0.00496119207564347
0.008590607289379071,0.008590607289379071
0.0075920416647754715,0.0075920416647754715
0.06427288177226169,0.06427288177226169
0.013594626148107981,0.013594626148107981
0.014242928537010093,0.014242928537010093
0.012733567934228831,0.012733567934228831
0.005441245064273556,0.005441245064273556
0.0025833463597046734,0.0025833463597046734
0.008990690520242643,0.008990690520242643
0.005753641992829146,0.005753641992829146
0.008335301110848682,0.008335301110848682
0.008922494000603227,0.008922494000603227
0.005472711458591241,0.005472711458591241
0.011914271787467658,0.011914271787467658
0.010419717632300067,0.010419717632300067
0.007117796249882143,0.007117796249882143
0.005724137041437311,0.005724137041437311
0.011761280244147658,0.011761280244147658
0.00794985244523525,0.00794985244523525
0.010437639101054833,0.010437639101054833
0.008101878465980759,0.008101878465980759
0.010866194688083025,0.010866194688083025
0.010090191801430774,0.010090191801430774
0.006332800402257611,0.006332800402257611
0.008591283608730002,0.008591283608730002
0.006654966802602144,0.006654966802602144
0.00504378512838212,0.00504378512838212
0.008414027725807616,0.008414027725807616
0.013612487062527816,0.013612487062527816
0.012344344430694132,0.012344344430694132
0.007900045155924993,0.007900045155924993
0.0033412184081012984,0.0033412184081012984
0.007403768774097449,0.007403768774097449
0.03669245774732611,0.03669245774732611
0.017508985166793927,0.017508985166793927
0.015339250252948659,0.015339250252948659
0.021437614984932782,0.021437614984932782
0.012410632874382464,0.012410632874382464
0.020544309276305506,0.020544309276305506
0.017550021905823342,0.017550021905823342
0.011933470458035412,0.011933470458035412
0.018127894942755473,0.018127894942755473
0.016273608907644135,0.016273608907644135
0.02576378265472431,0.02576378265472431
0.023650326343622373,0.023650326343622373
0.016096316283908722,0.016096316283908722
0.01039170705496611,0.01039170705496611
0.013789369436413066,0.013789369436413066
0.01571504029267295,0.01571504029267295
0.01583269241101867,0.01583269241101867
0.010620046435389814,0.010620046435389814
0.0036745624979370034,0.0036745624979370034
0.0010351220536003393,0.0010351220536003393
